s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
928.0,950.0,852.0,781.0,748.0,949.0,947.0,0.31,0.24,0.55,0.78,0.76,0.24,0.25,5
928.0,950.0,853.0,780.0,748.0,948.0,945.0,0.31,0.24,0.55,0.78,0.79,0.24,0.25,5
926.0,949.0,857.0,776.0,743.0,952.0,948.0,0.31,0.24,0.54,0.8,0.77,0.23,0.24,5
926.0,951.0,858.0,774.0,749.0,952.0,948.0,0.31,0.23,0.53,0.8,0.72,0.23,0.24,5
928.0,953.0,860.0,772.0,744.0,956.0,952.0,0.31,0.23,0.53,0.81,0.64,0.22,0.23,5
926.0,953.0,864.0,772.0,741.0,952.0,948.0,0.31,0.23,0.51,0.81,0.75,0.23,0.24,5
921.0,950.0,866.0,773.0,742.0,952.0,948.0,0.33,0.24,0.51,0.81,0.78,0.23,0.24,5
923.0,949.0,873.0,774.0,747.0,951.0,948.0,0.32,0.24,0.48,0.8,0.79,0.23,0.24,5
926.0,952.0,885.0,783.0,742.0,953.0,950.0,0.31,0.23,0.45,0.77,0.78,0.23,0.24,5
943.0,955.0,861.0,803.0,806.0,958.0,953.0,0.26,0.22,0.52,0.71,0.7,0.21,0.23,5
942.0,954.0,871.0,801.0,802.0,955.0,954.0,0.26,0.22,0.49,0.72,0.71,0.22,0.22,5
943.0,954.0,874.0,798.0,805.0,954.0,954.0,0.26,0.22,0.48,0.73,0.7,0.22,0.22,5
940.0,954.0,875.0,797.0,798.0,954.0,954.0,0.27,0.22,0.48,0.73,0.73,0.22,0.22,5
949.0,966.0,869.0,800.0,802.0,956.0,957.0,0.24,0.18,0.5,0.72,0.71,0.22,0.21,5
935.0,953.0,872.0,795.0,778.0,953.0,953.0,0.28,0.23,0.49,0.74,0.79,0.23,0.23,5
935.0,953.0,879.0,795.0,790.0,955.0,955.0,0.28,0.23,0.46,0.74,0.75,0.22,0.22,5
930.0,951.0,880.0,797.0,763.0,950.0,952.0,0.3,0.23,0.46,0.73,0.84,0.24,0.23,5
929.0,952.0,884.0,798.0,759.0,950.0,953.0,0.3,0.23,0.45,0.73,0.85,0.24,0.23,5
931.0,954.0,887.0,804.0,761.0,951.0,953.0,0.3,0.22,0.44,0.71,0.85,0.23,0.23,5
934.0,955.0,883.0,802.0,777.0,955.0,954.0,0.29,0.22,0.45,0.71,0.79,0.22,0.22,5
937.0,953.0,879.0,805.0,780.0,954.0,956.0,0.28,0.23,0.46,0.7,0.78,0.22,0.22,5
944.0,955.0,856.0,796.0,821.0,957.0,956.0,0.25,0.22,0.54,0.73,0.65,0.21,0.22,5
935.0,947.0,840.0,767.0,804.0,952.0,951.0,0.28,0.25,0.59,0.83,0.71,0.23,0.23,5
934.0,946.0,832.0,764.0,784.0,948.0,946.0,0.29,0.25,0.62,0.84,0.77,0.24,0.25,5
930.0,943.0,825.0,760.0,770.0,944.0,943.0,0.3,0.26,0.64,0.85,0.82,0.25,0.26,5
928.0,941.0,822.0,762.0,758.0,943.0,941.0,0.31,0.26,0.65,0.84,0.85,0.26,0.26,5
928.0,941.0,822.0,760.0,771.0,944.0,943.0,0.31,0.26,0.65,0.85,0.81,0.25,0.26,5
924.0,941.0,820.0,758.0,756.0,942.0,941.0,0.32,0.26,0.65,0.85,0.86,0.26,0.26,5
922.0,939.0,815.0,758.0,746.0,939.0,938.0,0.33,0.27,0.67,0.85,0.89,0.27,0.27,5
920.0,939.0,818.0,757.0,742.0,939.0,938.0,0.33,0.27,0.66,0.86,0.91,0.27,0.27,5
920.0,937.0,818.0,755.0,736.0,938.0,937.0,0.33,0.28,0.66,0.86,0.93,0.27,0.28,5
921.0,938.0,817.0,753.0,732.0,938.0,934.0,0.33,0.27,0.66,0.87,0.94,0.27,0.29,5
916.0,937.0,817.0,752.0,732.0,938.0,937.0,0.35,0.28,0.66,0.87,0.94,0.27,0.28,5
916.0,937.0,818.0,753.0,728.0,937.0,936.0,0.35,0.28,0.66,0.87,0.95,0.28,0.28,5
916.0,937.0,816.0,752.0,729.0,941.0,935.0,0.35,0.28,0.67,0.87,0.95,0.26,0.28,5
920.0,939.0,839.0,756.0,737.0,941.0,940.0,0.33,0.27,0.59,0.86,0.92,0.26,0.27,5
930.0,943.0,851.0,768.0,771.0,948.0,946.0,0.3,0.26,0.55,0.82,0.81,0.24,0.25,5
940.0,952.0,865.0,792.0,803.0,957.0,955.0,0.27,0.23,0.51,0.75,0.71,0.21,0.22,5
937.0,950.0,863.0,781.0,780.0,952.0,951.0,0.28,0.24,0.52,0.78,0.78,0.23,0.23,5
934.0,947.0,862.0,775.0,760.0,949.0,947.0,0.29,0.25,0.52,0.8,0.85,0.24,0.25,5
935.0,945.0,864.0,772.0,748.0,947.0,945.0,0.28,0.25,0.51,0.81,0.89,0.25,0.25,5
937.0,946.0,862.0,773.0,745.0,947.0,945.0,0.28,0.25,0.52,0.81,0.9,0.25,0.25,5
928.0,945.0,853.0,774.0,756.0,948.0,945.0,0.31,0.25,0.55,0.8,0.86,0.24,0.25,5
931.0,946.0,852.0,777.0,763.0,948.0,947.0,0.3,0.25,0.55,0.79,0.84,0.24,0.25,5
928.0,945.0,852.0,772.0,748.0,946.0,945.0,0.31,0.25,0.55,0.81,0.89,0.25,0.25,5
922.0,944.0,853.0,773.0,737.0,944.0,941.0,0.33,0.25,0.55,0.81,0.92,0.25,0.26,5
922.0,944.0,852.0,773.0,734.0,943.0,941.0,0.33,0.25,0.55,0.81,0.93,0.26,0.26,5
