ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2353066,943.00,955.00,861.00,803.00,806.00,958.00,953.00,0.26,0.22,0.52,0.71,0.70,0.21,0.23,5
2353126,942.00,954.00,871.00,801.00,802.00,955.00,954.00,0.26,0.22,0.49,0.72,0.71,0.22,0.22,5
2353186,943.00,954.00,874.00,798.00,805.00,954.00,954.00,0.26,0.22,0.48,0.73,0.70,0.22,0.22,5
2353246,940.00,954.00,875.00,797.00,798.00,954.00,954.00,0.27,0.22,0.48,0.73,0.73,0.22,0.22,5
2353486,949.00,966.00,869.00,800.00,802.00,956.00,957.00,0.24,0.18,0.50,0.72,0.71,0.22,0.21,5
2353546,935.00,953.00,872.00,795.00,778.00,953.00,953.00,0.28,0.23,0.49,0.74,0.79,0.23,0.23,5
2353606,935.00,953.00,879.00,795.00,790.00,955.00,955.00,0.28,0.23,0.46,0.74,0.75,0.22,0.22,5
2353666,930.00,951.00,880.00,797.00,763.00,950.00,952.00,0.30,0.23,0.46,0.73,0.84,0.24,0.23,5
2353726,929.00,952.00,884.00,798.00,759.00,950.00,953.00,0.30,0.23,0.45,0.73,0.85,0.24,0.23,5
2353786,931.00,954.00,887.00,804.00,761.00,951.00,953.00,0.30,0.22,0.44,0.71,0.85,0.23,0.23,5
2353846,934.00,955.00,883.00,802.00,777.00,955.00,954.00,0.29,0.22,0.45,0.71,0.79,0.22,0.22,5
2353906,937.00,953.00,879.00,805.00,780.00,954.00,956.00,0.28,0.23,0.46,0.70,0.78,0.22,0.22,5
