ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
2550157,955.00,964.00,846.00,802.00,926.00,972.00,971.00,0.22,0.19,0.57,0.71,0.31,0.16,0.17,6
2550217,947.00,795.00,843.00,789.00,847.00,959.00,639.00,0.25,0.74,0.58,0.75,0.57,0.21,1.24,6
2550277,942.00,450.00,839.00,786.00,820.00,950.00,399.00,0.26,1.85,0.59,0.76,0.65,0.24,2.01,6
2550337,942.00,316.00,838.00,781.00,820.00,948.00,197.00,0.26,2.28,0.60,0.78,0.65,0.24,2.66,6
2550397,941.00,286.00,840.00,780.00,818.00,949.00,173.00,0.26,2.38,0.59,0.78,0.66,0.24,2.74,6
2550457,936.00,296.00,841.00,784.00,822.00,948.00,179.00,0.28,2.35,0.59,0.77,0.65,0.24,2.72,6
2550518,941.00,959.00,841.00,787.00,862.00,961.00,959.00,0.26,0.21,0.59,0.76,0.52,0.20,0.21,6
2550578,953.00,966.00,854.00,794.00,899.00,967.00,967.00,0.23,0.18,0.55,0.74,0.40,0.18,0.18,6
2550640,950.00,964.00,886.00,796.00,895.00,971.00,971.00,0.24,0.19,0.44,0.73,0.41,0.17,0.17,6
2550700,956.00,965.00,887.00,794.00,922.00,974.00,975.00,0.22,0.19,0.44,0.74,0.33,0.16,0.15,6
2550760,957.00,965.00,849.00,789.00,977.00,978.00,978.00,0.21,0.19,0.56,0.75,0.15,0.15,0.15,6
2550821,946.00,756.00,837.00,785.00,844.00,953.00,673.00,0.25,0.86,0.60,0.77,0.58,0.23,1.13,6
2550881,936.00,335.00,835.00,785.00,831.00,952.00,216.00,0.28,2.22,0.61,0.77,0.62,0.23,2.60,6
2550941,937.00,299.00,835.00,782.00,837.00,950.00,189.00,0.28,2.34,0.61,0.78,0.60,0.24,2.69,6
2551002,937.00,297.00,837.00,783.00,824.00,948.00,172.00,0.28,2.34,0.60,0.77,0.64,0.24,2.75,6
2551062,937.00,286.00,849.00,784.00,821.00,949.00,161.00,0.28,2.38,0.56,0.77,0.65,0.24,2.78,6
2551123,941.00,296.00,850.00,788.00,820.00,949.00,161.00,0.26,2.35,0.56,0.76,0.65,0.24,2.78,6
2551183,946.00,897.00,840.00,794.00,839.00,957.00,955.00,0.25,0.41,0.59,0.74,0.59,0.21,0.22,6
