ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
303835,901,927,798,785,829,926,206,0.37,0.31,1.28,0.77,0.63,0.31,2.64,2
303895,898,928,800,784,829,919,205,0.4,0.31,1.29,0.77,0.63,0.34,2.64,2
303955,880,928,798,784,829,894,206,0.46,0.31,1.28,0.77,0.63,0.42,2.64,2
304015,862,929,798,786,831,886,210,0.52,0.3,1.28,0.76,0.62,0.44,2.62,2
304074,854,930,798,787,828,886,211,0.55,0.3,1.3,0.76,0.63,0.44,2.62,2
304134,800,926,798,786,831,877,186,0.72,0.31,1.28,0.76,0.62,0.47,2.7,2
304194,823,928,800,783,830,884,188,0.65,0.31,1.29,0.77,0.62,0.45,2.69,2
304253,764,928,800,782,833,878,188,0.84,0.31,1.29,0.78,0.61,0.47,2.69,2
304313,832,927,830,782,835,871,187,0.62,0.31,1.29,0.78,0.61,0.49,2.7,2
304373,856,928,800,782,833,866,185,0.54,0.31,1.29,0.78,0.61,0.51,2.7,2
304433,864,927,800,782,834,865,181,0.51,0.31,1.29,0.78,0.61,0.51,2.72,2
304493,863,928,800,781,832,860,184,0.52,0.31,1.29,0.78,0.62,0.53,2.71,2
304552,865,927,830,779,832,852,183,0.51,0.31,1.29,0.79,0.62,0.55,2.71,2
304612,871,927,830,780,831,839,182,0.49,0.31,1.29,0.78,0.62,0.59,2.71,2
304672,860,927,830,779,830,825,184,0.53,0.31,1.29,0.79,0.62,0.64,2.71,2
304732,849,927,819,779,830,814,184,0.56,0.31,1.3,0.79,0.62,0.67,2.71,2
304792,858,926,830,778,830,806,183,0.53,0.31,1.29,0.79,0.62,0.7,2.71,2
304851,863,926,798,777,831,805,185,0.52,0.31,1.28,0.79,0.62,0.7,2.7,2
304911,865,927,800,777,831,811,184,0.51,0.31,1.29,0.79,0.62,0.68,2.71,2
304971,851,927,830,777,830,808,184,0.55,0.31,1.29,0.79,0.62,0.69,2.71,2
305031,847,926,800,776,831,826,190,0.57,0.31,1.29,0.8,0.62,0.64,2.69,2
305091,849,928,800,776,838,852,187,0.56,0.31,1.29,0.8,0.6,0.55,2.7,2
305151,843,927,800,775,838,857,183,0.58,0.31,1.29,0.8,0.6,0.54,2.71,2
305210,863,927,800,777,840,864,184,0.52,0.31,1.29,0.79,0.59,0.51,2.71,2
305271,830,926,798,784,838,893,191,0.62,0.31,1.28,0.77,0.6,0.42,2.68,2
305330,893,926,800,786,836,932,203,0.42,0.31,1.29,0.76,0.6,0.29,2.65,2
305390,901,928,800,796,836,938,939,0.37,0.31,1.29,0.73,0.6,0.27,0.27,2
