ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
321488,930,944,810,782,846,957,956,0.3,0.25,0.69,0.78,0.57,0.21,0.22,0
321548,924,944,809,783,848,957,957,0.32,0.25,0.69,0.77,0.56,0.21,0.21,0
321607,936,944,806,780,844,955,956,0.28,0.25,0.7,0.78,0.58,0.22,0.22,0
321667,932,943,804,775,842,955,955,0.29,0.26,0.71,0.8,0.58,0.22,0.22,0
321727,925,942,804,771,840,955,956,0.32,0.26,0.71,0.81,0.59,0.22,0.22,0
321787,923,943,805,770,841,954,954,0.32,0.26,0.7,0.82,0.59,0.22,0.22,0
321847,921,943,804,769,841,955,955,0.33,0.26,0.71,0.82,0.59,0.22,0.22,0
321919,923,943,806,771,842,955,957,0.32,0.26,0.7,0.81,0.58,0.22,0.21,0
321966,920,943,803,771,842,954,957,0.33,0.26,0.71,0.81,0.58,0.22,0.21,0
322026,920,942,807,772,844,955,955,0.33,0.26,0.7,0.81,0.58,0.22,0.22,0
322086,918,943,805,769,844,954,953,0.34,0.26,0.7,0.82,0.58,0.22,0.23,0
322146,918,943,804,768,843,955,954,0.34,0.26,0.71,0.82,0.58,0.22,0.22,0
322206,919,943,802,768,843,956,952,0.34,0.26,0.71,0.82,0.58,0.22,0.23,0
322265,920,944,806,772,843,956,964,0.33,0.25,0.7,0.81,0.58,0.22,0.19,0
335059,935,943,809,775,836,955,959,0.28,0.26,0.69,0.8,0.6,0.22,0.21,0
335119,934,943,808,773,836,955,956,0.29,0.26,0.69,0.81,0.6,0.22,0.22,0
335178,934,944,806,772,836,953,955,0.29,0.25,0.7,0.81,0.6,0.23,0.22,0
335238,934,942,805,769,836,954,957,0.29,0.26,0.7,0.82,0.6,0.22,0.21,0
335298,934,943,805,770,837,955,955,0.29,0.26,0.7,0.82,0.6,0.22,0.22,0
335357,934,943,806,769,836,955,955,0.29,0.26,0.7,0.82,0.6,0.22,0.22,0
335417,934,940,806,768,835,955,955,0.29,0.27,0.7,0.82,0.61,0.22,0.22,0
335477,932,944,805,768,834,955,956,0.29,0.25,0.7,0.82,0.61,0.22,0.22,0
