ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
10402194,893,596,843,744,875,953,205,0.42,1.38,0.58,0.9,0.48,0.23,2.64,1
10402254,872,378,838,747,876,954,201,0.49,2.08,0.6,0.89,0.47,0.22,2.65,1
10402314,924,392,838,748,873,949,201,0.32,2.04,0.6,0.89,0.48,0.24,2.65,1
10402374,927,939,861,744,882,958,268,0.31,0.27,0.52,0.9,0.45,0.21,2.44,1
10402434,934,950,872,748,942,969,971,0.29,0.24,0.49,0.89,0.26,0.17,0.17,1
10402494,931,944,878,747,870,960,960,0.3,0.25,0.47,0.89,0.49,0.2,0.2,1
10402553,922,945,882,744,897,964,958,0.33,0.25,0.45,0.9,0.41,0.19,0.21,1
10402613,931,946,881,746,888,966,964,0.3,0.25,0.46,0.89,0.44,0.18,0.19,1
10402672,930,943,875,747,871,959,958,0.3,0.26,0.48,0.89,0.49,0.21,0.21,1
10402732,934,949,871,744,904,963,965,0.29,0.24,0.49,0.9,0.38,0.19,0.19,1
10402792,929,462,865,747,927,965,550,0.3,1.81,0.51,0.89,0.31,0.19,1.53,1
10402852,930,469,868,749,886,959,447,0.3,1.79,0.5,0.88,0.44,0.21,1.86,1
10402912,929,424,862,752,876,953,288,0.3,1.93,0.52,0.87,0.47,0.23,2.37,1
10402972,929,442,859,751,871,951,219,0.3,1.87,0.53,0.88,0.49,0.23,2.59,1
10403031,929,467,863,748,867,951,284,0.3,1.79,0.52,0.89,0.5,0.23,2.38,1
