ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
390957,930,338,832,774,836,954,957,0.3,2.21,0.62,0.8,0.6,0.22,0.21,3
391017,927,302,838,775,834,954,954,0.31,2.33,0.6,0.8,0.61,0.22,0.22,3
391077,928,294,840,776,836,957,956,0.31,2.35,0.59,0.8,0.6,0.21,0.22,3
391136,924,296,837,774,835,953,958,0.32,2.35,0.6,0.8,0.61,0.23,0.21,3
391197,922,296,837,774,835,955,956,0.33,2.35,0.6,0.8,0.61,0.22,0.22,3
391257,921,286,837,774,834,954,955,0.33,2.38,0.6,0.8,0.61,0.22,0.22,3
391317,926,281,836,774,834,958,957,0.31,2.39,0.6,0.8,0.61,0.21,0.21,3
391376,928,280,835,773,832,956,962,0.31,2.4,0.61,0.81,0.62,0.22,0.2,3
391436,928,278,834,772,833,954,955,0.31,2.4,0.61,0.81,0.61,0.22,0.22,3
391496,927,275,835,771,832,953,954,0.31,2.41,0.61,0.81,0.62,0.23,0.22,3
391556,926,274,835,771,833,953,956,0.31,2.42,0.61,0.81,0.61,0.23,0.22,3
391616,925,273,836,770,831,956,955,0.32,2.42,0.6,0.82,0.62,0.22,0.22,3
391675,926,272,835,770,831,953,955,0.31,2.42,0.61,0.82,0.62,0.23,0.22,3
391735,927,272,834,770,832,954,956,0.31,2.42,0.61,0.82,0.62,0.22,0.22,3
391795,925,270,835,769,831,953,955,0.32,2.43,0.61,0.82,0.62,0.23,0.22,3
391855,924,269,835,769,831,953,955,0.32,2.43,0.61,0.82,0.62,0.23,0.22,3
391915,925,270,834,769,831,953,956,0.32,2.43,0.61,0.82,0.62,0.23,0.22,3
391974,925,273,835,769,831,953,959,0.32,2.42,0.61,0.82,0.62,0.23,0.21,3
392034,926,274,832,771,832,955,955,0.31,2.42,0.62,0.81,0.62,0.22,0.22,3
392094,928,280,835,773,831,954,957,0.31,2.4,0.61,0.81,0.62,0.22,0.21,3
392153,932,309,839,776,838,958,959,0.29,2.3,0.59,0.8,0.6,0.21,0.21,3
392213,939,949,838,784,846,959,960,0.27,0.24,0.6,0.77,0.57,0.21,0.2,3
