ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
3822289,904.00,836.00,855.00,735.00,792.00,888.00,829.00,0.38,0.60,1.51,0.93,0.75,0.44,0.63,4
3822349,902.00,329.00,855.00,735.00,792.00,806.00,378.00,0.39,2.24,1.51,0.93,0.75,0.70,2.08,4
3822408,902.00,276.00,854.00,734.00,790.00,769.00,265.00,0.39,2.41,1.51,0.93,0.75,0.82,2.45,4
3822468,901.00,260.00,853.00,733.00,791.00,806.00,230.00,0.39,2.46,1.52,0.94,0.75,0.70,2.56,4
3822528,900.00,258.00,855.00,732.00,789.00,808.00,231.00,0.40,2.47,1.51,0.94,0.75,0.69,2.55,4
3822588,902.00,254.00,860.00,734.00,791.00,793.00,225.00,0.39,2.48,1.49,0.93,0.75,0.74,2.57,4
3822648,901.00,251.00,854.00,731.00,790.00,842.00,222.00,0.39,2.49,1.51,0.94,0.75,0.58,2.58,4
3822708,899.00,254.00,858.00,733.00,791.00,799.00,224.00,0.40,2.48,1.50,0.94,0.75,0.72,2.58,4
3822768,898.00,250.00,858.00,733.00,793.00,857.00,220.00,0.40,2.49,1.50,0.94,0.74,0.54,2.59,4
3822827,900.00,249.00,857.00,733.00,792.00,852.00,220.00,0.40,2.50,1.50,0.94,0.75,0.55,2.59,4
3822887,899.00,250.00,857.00,734.00,792.00,838.00,220.00,0.40,2.49,1.50,0.93,0.75,0.60,2.59,4
3822947,898.00,250.00,856.00,734.00,791.00,829.00,222.00,0.40,2.49,1.51,0.93,0.75,0.63,2.58,4
3823006,896.00,250.00,856.00,732.00,791.00,812.00,222.00,0.41,2.49,1.51,0.94,0.75,0.68,2.58,4
3823066,896.00,249.00,856.00,733.00,791.00,821.00,221.00,0.41,2.50,1.51,0.94,0.75,0.65,2.59,4
3823126,895.00,250.00,856.00,733.00,791.00,822.00,221.00,0.41,2.49,1.51,0.94,0.75,0.65,2.59,4
3823186,895.00,250.00,856.00,732.00,789.00,821.00,220.00,0.41,2.49,1.51,0.94,0.75,0.65,2.59,4
3823245,894.00,250.00,856.00,733.00,790.00,820.00,220.00,0.42,2.49,1.51,0.94,0.75,0.65,2.59,4
3823305,894.00,249.00,855.00,730.00,789.00,780.00,222.00,0.42,2.50,1.51,0.95,0.75,0.78,2.58,4
3823365,894.00,248.00,856.00,733.00,789.00,816.00,221.00,0.42,2.50,1.51,0.94,0.75,0.67,2.59,4
3823425,893.00,251.00,855.00,733.00,789.00,794.00,222.00,0.42,2.49,1.51,0.94,0.75,0.74,2.58,4
3823485,894.00,249.00,855.00,732.00,789.00,803.00,221.00,0.42,2.50,1.51,0.94,0.75,0.71,2.59,4
3823546,892.00,250.00,856.00,734.00,790.00,838.00,222.00,0.42,2.49,1.51,0.93,0.75,0.60,2.58,4
3823606,900.00,280.00,856.00,735.00,796.00,877.00,277.00,0.40,2.40,1.51,0.93,0.73,0.47,2.41,4
