ts,s0,s1,s2,s3,s4,s5,s6,v0,v1,v2,v3,v4,v5,v6,label
908961,915,928,711,763,770,933,936,0.35,0.31,1.01,0.84,0.82,0.29,0.28,7
909021,913,925,696,762,765,931,933,0.35,0.32,1.05,0.84,0.83,0.3,0.29,7
909080,912,929,693,759,761,930,934,0.36,0.3,1.06,0.85,0.85,0.3,0.29,7
909140,911,923,691,760,760,931,932,0.36,0.32,1.07,0.85,0.85,0.3,0.29,7
909200,911,924,691,760,759,932,932,0.36,0.32,1.07,0.85,0.85,0.29,0.29,7
909260,911,924,693,759,759,932,932,0.36,0.32,1.06,0.85,0.85,0.29,0.29,7
909320,912,928,698,759,759,931,933,0.36,0.31,1.05,0.85,0.85,0.3,0.29,7
909379,912,926,698,760,760,932,934,0.36,0.31,1.05,0.85,0.85,0.29,0.29,7
909439,911,927,695,760,760,932,934,0.36,0.31,1.06,0.85,0.85,0.29,0.29,7
909499,912,926,691,761,758,932,934,0.36,0.31,1.07,0.85,0.85,0.29,0.29,7
909559,911,926,688,761,759,931,932,0.36,0.31,1.08,0.85,0.85,0.3,0.29,7
909618,911,924,685,760,759,931,933,0.36,0.32,1.09,0.85,0.85,0.3,0.29,7
909678,910,923,684,761,756,931,932,0.36,0.32,1.09,0.85,0.86,0.3,0.29,7
909738,910,924,680,762,754,930,932,0.36,0.32,1.11,0.84,0.87,0.3,0.29,7
909797,910,923,683,763,751,930,932,0.36,0.32,1.1,0.84,0.88,0.3,0.29,7
909857,911,923,686,762,755,930,933,0.36,0.32,1.09,0.84,0.86,0.3,0.29,7
